"
Chất son kem này hơi đặc. Nhưng có dưỡng nên khá mướt môi. Mua 1c nhưng được đóng trong hộp khá xịn xò cẩn thận nè hi mình rất thích. 
Đúng là shopee mall có khác ❤️❤️
Môi mình đánh base hồng nên lên màu như ảnh, đánh mỗi màu #25 này thôi thì siêu bật tone da ❤️❤️",5,0,0,0,0,0,0
"
Giao đủ ,  hàng đẹp.  Màu hơi khác với hình.  Giao hàng lâu ><>>>>",5,2,2,2,0,2,2
"
Giao hàng hơi lâu nhưng son đẹp 
",5,0,2,0,0,0,0
"
hvihibobof7dugibkb fjdud7s7eigoh xididuaudigohi ìifudidigobobp ìifigovobof6sudib figjgkvivobovkbkbovkviv ìifivkvkvkvkvkvifud fifigigihifus6e7riduci fifid7d6w5e8gogudydifis6sigo cugigocix7syivod7ajvlv7siv ",5,-2,-2,-2,-2,-2,-2
"
Vì sao anh nhớ em thế này
Thương nhớ đong đầy trong lòng mắt
Buổi chiều còn gặp nhau đây
Mà đêm đã nhớ như vậy
Em hỡi em có hiểu, có hay?
Tình anh như núi cao biển rộng
Gom bốn phương trời xây thành 
LỜI BÀI HÁT
NGHE
MỌI NGƯỜI CŨNG TÌM KIẾM
Vì sao anh nhớ em thế này
Thương nhớ đong đầy trong lòng m",5,-2,-2,-2,-2,-2,-2
"   Đóng gói sản phẩm rất đẹp và chắc chắn 
Màu son thích lắm .bôi mềm mại  ",5,0,0,0,0,0,0
"   Giao hàng nhanh , đóng gói hàng cẩn thận , màu son lên đẹp , đúng  màu , thanks shop nhiều",5,0,0,0,0,0,0
" 01 màu đỏ tươi nhưng khi lên môi mình thấy  là đỏ cam nhiều hơn son mềm mịn , không khô môi, nhưng độ bám màu thì thấp  ăn 1 bữa nhẹ là trôi hết thời gian giao hàng nha",3,2,2,1,1,2,2
" Chất kem trơn k ăn môi ạ , màu k giống hình :(((",1,1,2,0,1,1,1
" Chất lượng sản phẩm tuyệt vời, thời gian giao hàng nhanh. Đóng gói sản phẩm tốt",5,0,0,0,0,2,0
 Chất son ok nhưng Màu thật so với hình khác nhau lắm luôn :) về son không được,2,1,1,1,1,1,1
" Đặt 2 cây, giao có 1 cây. Thiếu hàng nhưng nhắn tin không trả lời, shop làm ăn gì kì vậy rồi uy tín đâu mà tin tưởng mua hàng lần 2 vậy :))
Mong shop đọc đánh giá em và rep tin nhắn của em",1,1,1,1,1,1,1
" Đóng gói sản phẩm tốt 
Màu son lên đẹp, shipper cũng nhiệt tình ",5,0,0,0,0,0,0
" dusty pink lên môi màu hồng cánh sen , thất vọng nặng nề luôn ",3,1,1,1,1,1,1
 Giao Hai Lần Vẫn Giao Sai Màu ((: Đó Giờ Ít Cho Ai Một Sao ((: Shop Làm Em Thất Vọng Quá,1,1,1,1,1,1,1
" giao hàng nhanh,mùi thơm nhưng mà chất son kiểu như bột ấy... ",3,2,2,2,2,2,2
" giao hàng nhanh,mùi thơm nhưng mà chất son kiểu như bột ấy... ",3,2,2,2,2,2,2
 Hàng đến rất nhanh mình ở bắc giang mà nhớ đâu có 3 ngày đã đén rồi ,5,0,0,0,0,-2,0
hàng nhỏ xíu mà đóng gói quá to. Làm tăng phí vận chuyển không cần thiết,3,2,1,1,1,1,1
" Là tín đồ bbia nên k có gì để chê cả. Đây là lần thứ 2 mua ở shop, đợt trước mua màu 15, giờ màu 25 cho đủ màu đẹp 😂  Đúng chuẩn màu đỏ đất, chất son lỳ mà k hề làm khô môi, điểm cực thích của bbia. Shop còn tặng thiệp thank you và happy Mother's day ",5,0,0,0,0,0,0
" Lần đầu đặt son xinh lắm ạ. Giao hàng nhanh ghê luôn, đặt hôm m6 mà m7 đã nhận được hàng r",5,0,0,0,0,0,0
" Lần đầu mua cực kì ưng ý cách đóng gói kỹ , và chất lượng rất OK.❤",5,0,0,0,0,0,0
 Màu 25 toàn sold out thôi nên mk đợi lau lắm mới mua được. Shop nhiệt tình có hàng cái nhắn tin cho mình kêu mình đặt luôn ms có luôn á. 10* cho shop vì sự nhiệt tình luôn. Mình đặt cho ny nên cx kbt review về son ntn luôn. Nhưng màu đẹp lắm ạ,5,0,0,0,0,0,0
" Màu đẹp, lì, mịn ",5,0,0,0,0,0,0
" Màu đỏ gạch lên môi lại thành đỏ cam sáng và có ánh hồng. Mình lại khá thất vọng về kiểu màu son như thế này. May là tone da mình trắng không là thôi không dùng nổi luôn. Nhưng mình vẫn thích màu tối nên thật thất vọng. Chất son không giữ màu tốt như mình nghĩ, lau là trôi ngay",3,1,1,1,1,1,1
" Màu không giống , tốt nhất là không mua nữa tức ",1,1,1,1,1,1,1
" Màu son đẹp lắm ạ, cháy hàng liên tục nhưng đợi là xứng đáng. Xuất sắc ",5,0,0,0,0,0,0
 Màu son maxxxxx đẹp. Đóng gói sản phẩm rất đưpj và chắc chắn. Rất đáng tiềnnnnnnnnnnnnnnn,5,0,0,0,0,0,0
" Màu25 Son lên màu đẹp k bị khô môi,da ngăm cũng đánh được, chuẩn chính hãng tuy nhiên mùi son hơi nồng,shop giao hàng cho đơn vị vận chuyển khá lâu.Nhưng với giá 150k là quá ổn mọi người lên mua nhé(màu ở hình mình chụp cam hơn ở ngoài màu ở ngoài đẹp hơn nhiều 😘)",5,0,0,0,0,0,0
" mình đã mở ra và chụp luôn ngay từ khi mở nắp
Và kết quả như son đã được dùng r 😊",3,1,1,1,1,1,1
Mong nhà sản xuất xem xét lại sản phẩm này.,3,1,1,1,1,1,1
" Rất ưng ạ , lên màu tất tốt,  không bị khô môi mỗi tội giao hàng hơi lâu. ",5,0,0,0,0,0,0
 Sản phẩm cực tốt đáng đồng tiền nói chung là rất oke nha cả nhà đó là màu môi em đánh nhe ❤️ yêu shop quá mua hai cây được gói trong cái hộp cute ,5,0,0,0,0,0,0
 Sản phẩm thật sự rất tuyệt vời mọi người nên mua nha !!!!!!!!!!,5,0,0,0,0,0,0
" sau khi đánh 1 lớp mỏng son, son mịn thơm dịu. Hài lòng. Hài lòng",5,0,0,0,0,0,0
" soha.vn ● Tin Tài Trợ
Mới đây, cư dân mạng đã được dịp phát sốt với sự xuất hiện của cậu bé Nitipong Rakton với tên thường gọi là Nesty Spicy trên sân khấu của chương trình ""Gues My Age"".




Nesty Spicy là chủ nhân của kênh YouTube dạy trang điểm cực nổi tiếng ""Nes_tyyy"". Ngoài tài năng trang điểm t",5,-2,-2,-2,-2,-2,-2
" Son đẹp , lên màu chuẩn , siêu lì ạ  vvB, chúc shop bán đắt hàng  Hjhjhj",5,0,0,0,0,0,0
" xem nhiều người test đều ra hồng đất hơi đậm í mua về thì rất lợt ra là màu nude hơi có tí hồng, lên tay thì ra hồng đất lên môi thì không =(( mà nhìn tự nhiên đi học xinh. Son xong tầm 5’ son khô lại nhưng rất mướt không khô, nếu không ăn uống sẽ lấu còn ăn trôi. Gói rất xinh giao siêu nhanh",5,2,2,2,2,2,2
 Znzbzn x xnx x xnnxnxnxncnncncncnncncncnxnncncncnxncnncncncncncnncncncncnncncncncncnncncncncn,5,-2,-2,-2,-2,-2,-2
_Chất son lên môi rất mượt lên màu rất đẹp cực ưng:))❤❤❤❤❤,5,0,0,0,0,0,0
"- check đc mã vạch nhưng giờ fake mã thì k khó, kco hidden tag, son lúc mới đánh sẽ hơi bóng một tí nhưng khô r sẽ dạng matte, ăn uống dễ trôi, nhưng son dễ trôi nv sẽ ít chì, son dùng hơi hao vì phải đánh nhìu lớp ms lên chuẩn màu, mềm môi k khô môi
Nói chung là 7/10 điểm",5,2,2,2,2,2,2
- Chời ơi giao hàq nhanh khủq khiếp ms đặt ch đc 1day mà đã nhận đc hàq r hãq bbia ch bao h lm e thất vọng từ việc giao hàq ts chất lượng sp ch khui hộp nx là lên đánh giá lun r moq shop mau mau có ver2 để e mua full bộ lun nhaa,5,0,0,0,0,0,0
"- Chuẩn Aut, check code + có tem mác 
- m đã dùng qua màu 12 tone cam nhiều cũng xinh  lần này mua thử 04 siêu ưng 
- màu 04 này kiểu tươi tắn trắng da+răng luôn ấy
- chất son lì vẫn mướt nhẹ đều k bị loang lổ, nc chất tin nên vẫn phải bôi dưỡng đều đánh mới đẹp nhé mn 
",5,0,0,0,0,0,0
"- giao hàng nhanh, đóng gói chắc chắn, vỏ son hơi méo mó, check mã vạch ra nhưng QR thì không, chất son ổn",3,2,2,2,2,2,2
"- Giao hàng nhanh, trưa 19 đặt sáng 21 shiper đã gọi rồi. 
- Cứ tưởng màu đỏ nên mới đặt, đánh lên màu cam cam nên chả dùng được 😢",5,1,1,1,1,1,1
- Hàng chuẩn giao hàng nhanh chất lượng. Sẽ ủng hộ shop. Lên màu quá đẹp luôn. Sẽ ủng hộ shop. ,5,0,0,0,0,0,0
"- màu đẹp, mềm, mướt
- giá cả phải chăng
- giao hàng nhanh chóng",5,0,0,0,0,0,0
- son đẹp cực lun ạ 😍,5,0,0,0,0,2,0
"- Son giao nhanh cầm tay nặng cịt, nhưq wà tặq k như shop đăq tải thay vào đó là 5 bao lì xì cùq hãq",3,2,2,2,2,2,2
"- Son màu tươi thôi r, thấy mí đứa pan quoánh đều ưng, khá thic màu ni  💋💋
-Mùi thơm như siro dâu í 🍓
",5,0,0,0,0,2,0
- Son rất thơm có mùi nho rất dễ chịu ạ son tuy k lì bằng hãq bls nhưq lại rất thơm khá lì so vs những dòq son bằng giá khác,5,0,2,0,0,0,0
"-đóng gói sản phẩm hơi lỏng lẻo, băng dính dán hộp không được chắc chắn
-Giao hàng hơi lâu, phải mất 4-5 ngày mới nhận được hàng
- son đẹp, xinh xắn từ vỏ đến son 💋  chất son mịn, nhẹ môi, màu son lên xinh, sáng da, phù hợp với nhiều tông da,  không làm xỉn màu. ",5,0,0,0,0,0,0
-Gói siêu kĩ. Ai cũng bảo cây son bé tí làm hộp rõ to :)) son mướt và thơm. Màu này kén mặt hay sao á. Mình đánh thì đẹp mà mấy bà chị đánh như môi thâm.haha,5,0,0,0,0,0,0
